id,Valid test,Lap Shear joint substrate aluminum thickness (m),Average thickness of the adhesive layer (m),Spacer shim thickness (m),Fillet,Mixing to Applied Pressure Time (s),Temperature at sample preparation (°C),Humidity at sample preparation (%),Actual experimental test temperature (°C),Test humidity (%),Extension shift (in),Max load (N),Max strength (Pa),Extension at Max Load (m),Area under the curve to max load - Riemann Sums (N.mm),Extension at complete failure (m),Total under the curve - Riemann Sums (N.mm),Adhesive underfilled,Adhesive fill quality,Mode-of-failure,Test frame,Load cell
52,1,0.00229,8.40E-05,0.000127,0,2100,23.1,49,25.3,47,-0.00689,5940,18400000,0.00192,4960,0.00193,5010,0,4,1,1,1
53,1,0.00229,0.000158,0.000127,0,2100,23.1,49,25.3,47,-0.00787,4990,15500000,0.00134,3280,0.00135,3350,0,4,1,1,1
54,1,0.00229,0.000155,0.000127,0,2100,23.1,49,25.3,47,-0.00846,4920,15300000,0.00176,3740,0.00177,3770,0,4,1,1,1
55,1,0.00229,2.97E-05,0.000127,0,2100,22.8,49,25.3,47,-0.00984,3730,11600000,0.00125,2260,0.00126,2260,0,4,1,1,1
56,1,0.00229,3.73E-05,0.000127,0,2100,22.8,49,25.3,47,-0.00709,4250,13200000,0.00138,2740,0.00141,2850,0,4,1,1,1
57,1,0.00229,9.60E-05,0.000127,0,2100,22.8,49,25.3,47,-0.00728,4000,12400000,0.00113,2200,0.00114,2200,0,4,1,1,1
58,1,0.00229,8.87E-05,0.000127,0,2100,22.8,49,25.6,49,-0.00787,4420,13700000,0.00131,2550,0.00132,2580,0,4,1,1,1
59,1,0.00229,7.27E-05,0.000127,0,2100,22.8,49,25.5,49,-0.00787,4990,15500000,0.00114,2950,0.00115,2960,0,4,1,1,1
60,1,0.00114,0.000385,0.000381,0,2100,22.8,49,24.9,49,-0.0118,4000,12400000,0.00125,2760,0.00126,2780,0,4,1,1,1
61,1,0.00114,0.000372,0.000381,0,2100,22.8,49,25,48,-0.0112,3460,10700000,0.00118,2090,0.00119,2130,0,4,1,1,1
62,1,0.00114,0.000383,0.000381,0,2100,22.8,49,25,48,-0.0118,3780,11700000,0.00123,2450,0.00124,2480,0,4,1,1,1
63,1,0.00114,0.0004,0.000381,0,2100,22.8,49,25,48,-0.0118,3310,10200000,0.0013,2060,0.00131,2070,0,4,1,1,1
